TERMINAL_ID,ERROR_CODE,START_TIME,END_TIME
001,002,08:00:00,08:10:02
001,002,08:00:00,08:18:09
001,002,08:00:00,08:20:26
001,002,08:00:00,08:21:35
001,002,08:00:00,08:21:35
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:00:00,08:59:59
001,002,08:10:02,08:10:07
001,002,08:13:07,08:17:21
001,002,08:20:21,08:21:20
001,002,08:20:26,08:20:40
001,002,08:21:09,08:25:36
001,002,08:23:40,08:27:00
001,002,08:24:20,08:24:33
001,002,08:24:35,08:38:03
001,002,08:24:35,08:38:03
001,002,08:27:00,08:27:15
001,002,08:27:33,08:57:00
001,002,08:28:36,08:59:59
001,002,08:30:15,08:59:59
001,002,08:38:03,08:38:04
001,002,08:38:03,08:38:04
001,002,08:42:34,08:45:20
001,002,08:42:34,08:45:20
001,002,08:47:36,08:48:38
001,002,08:47:36,08:48:39
001,002,08:48:39,08:48:46
001,002,08:48:39,08:48:46
001,002,08:49:06,08:59:59
001,002,08:49:06,08:59:59
001,002,08:57:09,08:57:16
001,002,08:59:59,08:59:59

